,tweets,polarity,subjectivity,analysis,IsPositive,IsNegative,IsNeutral
0," FUN FACT Donald Trump's healthcare plan has been ""2 weeks away"" for 43 months now.",0.3,0.2,Positive,1,0,0
1,Republicans tell the truth about Biden probe “It would certainly help Donald Trump win re-election” //t.co/uruEkTpq7D SmartNews,0.5071428571428571,0.4857142857142857,Positive,1,0,0
2,"  One out of every 1,640 Americans alive before the pandemic hit, is now dead because of… //t.co/lyw7Ddlt54",-0.05,0.4,Negative,0,1,0
3," Our latest.

Donald Trump's plan will kill 3 million Americans.

Vote like your life depends on it.

It does.",0.5,0.9,Positive,1,0,0
4," “I don’t have to shake hands with these disgusting people.” — President Donald J. Trump. 

Baskets of deplorables, perhaps?",-1.0,1.0,Negative,0,1,0
5,_arg       … //t.co/A65w9MwkuU,0.0,0.0,Neutral,0,0,1
6," Our latest.

Donald Trump's plan will kill 3 million Americans.

Vote like your life depends on it.

It does. //t.…",0.5,0.9,Positive,1,0,0
7," The choice in this election couldn’t be more clear.

We can choose four more years of Donald Trump’s dark and divisive politi…",0.23750000000000002,0.4458333333333333,Positive,1,0,0
8," “I don’t have to shake hands with these disgusting people.” — President Donald J. Trump. 

Baskets of deplorables, perhaps?",-1.0,1.0,Negative,0,1,0
9," _Graham Listen. I hate Donald Trump. Christians hate me because I do. 
Who is the righteous? I'll call it a draw.",-0.8,0.9,Negative,0,1,0
10," FUN FACT Donald Trump's healthcare plan has been ""2 weeks away"" for 43 months now.",0.3,0.2,Positive,1,0,0
11,"Our Furor Donald Trump ""a very perfect human being"" will soon dictate pussy grabbing is an American institution. 

//t.co/gueGXvttct",0.3333333333333333,0.3666666666666667,Positive,1,0,0
12, ...and here is _Osborne 's previous investigation (w/  + ) into Donald Trump's history with…,-0.16666666666666666,0.16666666666666666,Negative,0,1,0
13," BREAKING Lindsey Graham calls for Donald Trump to release his tax returns. 

""Yeah, I think everybody should. I've said…",0.0,0.0,Neutral,0,0,1
14," For Donald Trump it’s all about re-election. It should be about the American people.  will put you first.
BidenTownH…",0.125,0.16666666666666666,Positive,1,0,0
